Media	Url de l’Image
Inventé pour Xwing 	https://static.wikia.nocookie.net/frstarwars/images/2/2f/Star_Wars_X-Wing_Seconde_Edition_logo.png/revision/latest/scale-to-width-down/698?cb=20200404145305
Episode 1	https://static.wikia.nocookie.net/frstarwars/images/e/e0/Lundi.png/revision/latest/scale-to-width-down/666?cb=20151011153017
Episode 2	https://static.wikia.nocookie.net/frstarwars/images/9/9d/Mardi.png/revision/latest/scale-to-width-down/666?cb=20151011152938
Episode 3	https://static.wikia.nocookie.net/frstarwars/images/3/3e/Mercredi.png/revision/latest/scale-to-width-down/666?cb=20151011153154
Episode 4	https://static.wikia.nocookie.net/frstarwars/images/c/c3/Jeudi.jpg/revision/latest/scale-to-width-down/638?cb=20151011153111
Episode 5	https://static.wikia.nocookie.net/frstarwars/images/2/2e/Vendredi.jpg/revision/latest/scale-to-width-down/644?cb=20151011152917
Episode 6	https://static.wikia.nocookie.net/frstarwars/images/5/59/Samedi.jpg/revision/latest?cb=20151011152853
Episode 7	https://static.wikia.nocookie.net/frstarwars/images/f/f4/Affiche_%C3%A9pisode_7.jpg/revision/latest/scale-to-width-down/700?cb=20151018164227
Episode 8	https://static.wikia.nocookie.net/frstarwars/images/0/06/Star_wars_%C3%A9pisode_VIII_Les_Derniers_Jedi_-_affiche_finale.jpg/revision/latest/scale-to-width-down/675?cb=20171010055827
Episode 9	https://static.wikia.nocookie.net/frstarwars/images/e/e2/Star_Wars_The_Rise_of_Skywalker_VF.jpeg/revision/latest/scale-to-width-down/675?cb=20191022152000
Rogue One	https://static.wikia.nocookie.net/frstarwars/images/a/ad/Rogue_One_Affiche_finale.jpg/revision/latest/scale-to-width-down/674?cb=20161012213710
Solo	https://static.wikia.nocookie.net/frstarwars/images/1/15/Solo_A_Star_Wars_Story_Affiche_Finale.jpg/revision/latest/scale-to-width-down/676?cb=20180410201446
Squadrons	https://static.wikia.nocookie.net/frstarwars/images/2/25/SWSquadrons.jpg/revision/latest/scale-to-width-down/700?cb=20200612182300
Fallen Order	https://static.wikia.nocookie.net/frstarwars/images/b/bb/Jedi_Fallen_Order_Art.jpg/revision/latest/scale-to-width-down/700?cb=20190607160848
Battlefront 2	https://static.wikia.nocookie.net/frstarwars/images/8/84/Star_Wars_Battlefront_II.jpg/revision/latest/scale-to-width-down/700?cb=20170416065718
Battlefront 2 : DLC Résurrection	https://static.wikia.nocookie.net/battlefront/images/a/a3/Slider-Iden_Versio_BF2_Resurrection.png/revision/latest/scale-to-width-down/1000?cb=20171215022907
Black Spire (Galaxy Edge)	https://static.wikia.nocookie.net/frstarwars/images/9/99/Galaxy%27s_Edge_Black_Spire_cover.png/revision/latest/scale-to-width-down/658?cb=20190326203623
Battlefront 2 : L’escouade Inferno	https://static.wikia.nocookie.net/frstarwars/images/3/33/Battlefont_2_Escouade_Inferno.jpeg/revision/latest?cb=20190212151113
Battlefront : Twilight Company	https://static.wikia.nocookie.net/frstarwars/images/3/31/Battlefront_Twilligh_Company_Pocket.jpg/revision/latest?cb=20180614092047
L’escadron Alphabet 	https://static.wikia.nocookie.net/frstarwars/images/f/f4/Alphabet-squadron-trilogy.jpg/revision/latest/scale-to-width-down/700?cb=20210813081052
Thrawn	https://static.wikia.nocookie.net/frstarwars/images/4/4c/StarWarsThrawn.jpg/revision/latest?cb=20190102093911
Riposte	https://static.wikia.nocookie.net/starwars/images/d/d4/Aftermath-trilogy.png/revision/latest/scale-to-width-down/1000?cb=20171024185622
Renaissance	https://static.wikia.nocookie.net/frstarwars/images/4/40/Renaissance-pocket.jpg/revision/latest?cb=20200826120053
Sombre Apprenti	https://static.wikia.nocookie.net/frstarwars/images/d/d2/Sombre_apprenti.jpg/revision/latest?cb=20161218084401
Leia Princesse d’Alderaan	https://static.wikia.nocookie.net/frstarwars/images/8/8e/Leia-princesse-dAlderaan-pocket.jpeg/revision/latest/scale-to-width-down/610?cb=20210219132720
Phasma (roman)	https://static.wikia.nocookie.net/frstarwars/images/4/45/Phasma_pocket.jpg/revision/latest/scale-to-width-down/610?cb=20180409134638
Liens du Sang	https://static.wikia.nocookie.net/frstarwars/images/6/62/Liens_du_sang.jpg/revision/latest?cb=20170714070337
Tarkin	https://static.wikia.nocookie.net/frstarwars/images/5/5a/Tarkin_roman.jpg/revision/latest?cb=20160716144823
Etoiles Perdues	https://static.wikia.nocookie.net/frstarwars/images/b/b4/%C3%89toiles_Perdues.jpg/revision/latest?cb=20151206045436
Morts ou Vifs	https://static.wikia.nocookie.net/frstarwars/images/9/9a/Morts_ou_vifs.jpg/revision/latest?cb=20190525063014
Ahsoka	https://static.wikia.nocookie.net/frstarwars/images/8/89/Ahsoka_Pocket.jpg/revision/latest/scale-to-width-down/610?cb=20210219133326
Chute Libre	https://static.wikia.nocookie.net/frstarwars/images/0/01/Chute_libre.jpg/revision/latest/scale-to-width-down/610?cb=20210813074516
Une Nouvelle Aube	https://static.wikia.nocookie.net/frstarwars/images/d/d7/Une_Nouvelle_Aube.jpg/revision/latest?cb=20170227143341
Cobalt Squadron	https://static.wikia.nocookie.net/frstarwars/images/6/6f/Cobalt_Squadron.jpg/revision/latest/scale-to-width-down/643?cb=20170901100731
L’ombre de la Reine	https://static.wikia.nocookie.net/frstarwars/images/d/de/LOmbre_de_la_reine_Pocket.jpg/revision/latest?cb=20201118075727
The Mandalorian	https://static.wikia.nocookie.net/frstarwars/images/4/4f/The-Mandalorian-logo.png/revision/latest/scale-to-width-down/700?cb=20210212092453
Le livre de Boba Fett	https://static.wikia.nocookie.net/frstarwars/images/e/ea/The_Book_of_Boba_Fett_logo.png/revision/latest/scale-to-width-down/700?cb=20220107122622
Obi Wan	https://static.wikia.nocookie.net/frstarwars/images/b/b5/Obi-Wan_Kenobi_new_series_logo.png/revision/latest/scale-to-width-down/700?cb=20220202165717
The Clone Wars	https://static.wikia.nocookie.net/frstarwars/images/e/ee/SWTCWLogo.png/revision/latest/scale-to-width-down/700?cb=20210807102719
Bad Batch	https://static.wikia.nocookie.net/frstarwars/images/e/e1/Star_Wars_Bad_Batch.jpg/revision/latest/scale-to-width-down/699?cb=20210417103701
